Epoch	Train_Loss	Val_Loss
1	0.071872	0.004029
2	0.010262	0.003291
3	0.007530	0.158030
4	0.005312	0.004369
5	0.003640	0.002566
6	0.004281	0.003859
7	0.003120	0.006736
8	0.002633	0.002715
9	0.001375	0.003052
10	0.001001	0.002244
11	0.000831	0.002058
12	0.000716	0.002054
13	0.000631	0.001644
14	0.000555	0.001161
15	0.000511	0.001353
16	0.000450	0.001124
17	0.000411	0.000874
18	0.000378	0.000748
19	0.000347	0.000729
20	0.000324	0.000589
21	0.000305	0.000663
22	0.000293	0.000539
23	0.000283	0.000412
24	0.000274	0.000484
25	0.000266	0.000452
26	0.000259	0.000380
27	0.000253	0.000318
28	0.000247	0.000300
29	0.000242	0.000306
30	0.000236	0.000247
31	0.000231	0.000273
32	0.000226	0.000231
33	0.000223	0.000244
34	0.000223	0.000209
35	0.000215	0.000231
36	0.000213	0.000251
37	0.000209	0.000201
38	0.000205	0.000256
39	0.000204	0.000240
40	0.000200	0.000176
41	0.000198	0.000233
42	0.000195	0.000198
43	0.000193	0.000154
44	0.000192	0.000158
45	0.000190	0.000186
46	0.000188	0.000161

Final Test Loss: 0.000404
