Epoch	Train_Loss	Val_Loss
1	0.184258	0.008247
2	0.004724	0.006140
3	0.004859	0.002562
4	0.003212	0.006819
5	0.003282	0.002784
6	0.002446	0.003305
7	0.001853	0.002591
8	0.001066	0.002621
9	0.000967	0.002423
10	0.000903	0.002537
11	0.000854	0.002042
12	0.000817	0.002157
13	0.000778	0.001708
14	0.000748	0.001870
15	0.000722	0.001956
16	0.000689	0.001525
17	0.000665	0.001387
18	0.000653	0.001722
19	0.000623	0.001395
20	0.000597	0.001336
21	0.000580	0.001320
22	0.000557	0.001271
23	0.000534	0.001044
24	0.000517	0.001323
25	0.000503	0.001069
26	0.000481	0.000955
27	0.000463	0.001263
28	0.000453	0.000891
29	0.000433	0.000748
30	0.000424	0.001104
31	0.000406	0.000983
32	0.000392	0.000899

Final Test Loss: 0.002192
